07/12/2021,196.01,34535180,190.23,198,189.76
07/13/2021,186.07,59265660,183.59,186.9,179.6701
07/14/2021,191.76,55736770,198.37,198.575,190.88
07/15/2021,206.53,25539860,206.29,206.89,203.56
07/16/2021,214.04,10563110,212.64,216.39,212.6
07/19/2021,211.08,7650329,209.15,211.85,208.42
07/20/2021,212.1,11150240,214.85,215.2,211.46
07/21/2021,214.76,14283580,215.11,216.6,213.1606
07/22/2021,211.5,19484210,215.5,216.35,211.03
07/23/2021,209.51,17375880,209.23,212.81,208.19
07/26/2021,205.48,11259480,203.9,206.455,203.02
07/27/2021,197.38,20115920,195.01,197.44,192
07/28/2021,200.09,17889190,196.27,202.07,196.25
07/29/2021,195.19,17250600,190.58,196.045,190.49
07/30/2021,197.54,23363230,201.045,201.14,194.91
08/02/2021,198.54,23363230,201.045,201.14,194.91
08/03/2021,199.54,23363230,201.045,201.14,194.91
08/04/2021,192.54,23363230,201.045,201.14,194.91
08/05/2021,193.54,23363230,201.045,201.14,194.91
08/06/2021,194.54,23363230,201.045,201.14,194.91
08/07/2021,200.54,23363230,201.045,201.14,194.91
08/08/2021,201.54,23363230,201.045,201.14,194.91
